time,websocket_succ 
50,3496 
60,8249 
70,12911 
80,17694 
90,22560 
100,27426 
110,32236 
120,37063 
130,41880 
140,46698 
150,51676 
160,56503 
170,61200 
180,66122 
190,71050 
200,75980 
210,80957 
220,85985 
230,91038 
240,96112 
250,101073 
260,106050 
270,111060 
280,116200 
290,121277 
300,126251 
310,131333 
320,136028 
330,141018 
340,146040 
350,151064 
360,155993 
370,160962 
380,165921 
390,170856 
400,175956 
410,181065 
420,186080 
430,191215 
440,196181 
450,201100 
460,206072 
470,211183 
480,216175 
490,221073 
500,226079 
510,231060 
520,236146 
530,241091 
540,246026 
550,251008 
560,255978 
570,260704 
580,265680 
590,270573 
600,275471 
610,280542 
620,285661 
630,290574 
640,295497 
650,300425 
660,305481 
670,310576 
680,315624 
690,320680 
700,325674 
710,330686 
720,335627 
730,340594 
740,345580 
750,350512 
760,355671 
770,360612 
780,365576 
790,370565 
800,375557 
810,380483 
820,385433 
830,390497 
840,395576 
850,400730 
860,405602 
870,410601 
880,415571 
890,420491 
900,425420 
910,430546 
920,435380 
930,440319 
940,445496 
950,450542 
960,455476 
970,460527 
980,465581 
990,470815 
1000,475873 
1010,480849 
1020,485905 
1030,490822 
1040,495838 
1050,500925 
1060,505886 
1070,510896 
1080,515896 
1090,520783 
1100,525953 
1110,530822 
1120,535821 
1130,540827 
1140,545768 
1150,550873 
1160,555875 
1170,560860 
1180,565827 
1190,570766 
1200,575738 
1210,580907 
1220,585862 
1230,590782 
1240,595928 
1250,600985 
1260,606045 
1270,611167 
1280,616090 
1290,620994 
1300,625838 
1310,630665 
1320,635810 
1330,641018 
1340,645937 
1350,650842 
1360,655938 
1370,660967 
1380,665851 
1390,670972 
1400,676093 
1410,681075 
1420,685993 
1430,691086 
1440,696225 
1450,701272 
1460,706168 
1470,711297 
1480,716297 
1490,721130 
1500,726121 
1510,731168 
1520,736155 
1530,741266 
1540,746393 
1550,751223 
1560,756267 
1570,761033 
1580,766183 
1590,771099 
1600,776100 
1610,781125 
1620,786299 
1630,791102 
1640,795896 
1650,800971 
1660,805922 
1670,811075 
1680,816114 
1690,821154 
1700,826053 
1710,831046 
1720,835906 
1730,841073 
1740,846120 
1750,851184 
1760,855880 
1770,861135 
1780,866023 
1790,871061 
1800,875920 
1810,880974 
1820,885833 
1830,890938 
1840,895871 
1850,901081 
1860,905931 
1870,911120 
1880,916039 
1890,921097 
1900,926208 
1910,931277 
1920,936119 
1930,941121 
1940,946254 
1950,951262 
1960,956132 
1970,960898 
1980,965885 
1990,971026 
2000,975969 
2010,981111 
2020,985900 
2030,990880 
2040,995911 
2050,1001005 
2060,1006032 
2070,1010910 
2080,1015765 
2090,1020750 
2100,1025939 
2110,1031058 
2120,1036105 
2130,1041056 
2140,1046257 
2150,1051177 
2160,1055940 
2170,1061095 
2180,1066225 
2190,1071175 
2200,1075907 
2210,1081151 
2220,1086142 
2230,1091043 
2240,1096209 
2250,1101301 
2260,1106363 
2270,1110942 
2280,1115998 
2290,1121027 
2300,1125907 
2310,1130772 
2320,1135787 
2330,1140646 
2340,1145633 
2350,1150867 
2360,1156046 
2370,1161123 
2380,1166138 
2390,1171006 
2400,1176063 
2410,1181039 
2420,1186064 
2430,1191348 
2440,1196382 
2450,1201370 
2460,1206296 
2470,1211332 
2480,1216357 
2490,1221257 
2500,1226430 
2510,1231549 
2520,1236393 
2530,1241371 
2540,1246489 
2550,1251145 
2560,1256496 
2570,1261392 
2580,1266194 
2590,1271394 
2600,1276425 
2610,1281569 
2620,1286321 
2630,1291140 
2640,1296359 
2650,1301145 
2660,1306462 
2670,1311148 
2680,1316266 
2690,1320971 
2700,1326607 
2710,1331416 
2720,1336385 
2730,1341158 
2740,1346438 
2750,1351204 
2760,1356388 
2770,1361016 
2780,1366043 
2790,1371323 
2800,1376094 
2810,1380819 
2820,1385996 
2830,1391148 
2840,1396286 
2850,1401077 
2860,1405686 
2870,1410614 
2880,1415656 
2890,1420605 
2900,1425800 
2910,1430466 
2920,1436026 
2930,1440732 
2940,1445945 
2950,1450583 
2960,1455727 
2970,1460275 
2980,1465881 
2990,1470022 
3000,1475885 
3010,1480696 
3020,1485898 
3030,1490879 
3040,1495164 
3050,1500674 
3060,1505415 
3070,1510234 
3080,1515825 
3090,1520577 
3100,1525489 
3110,1530527 
3120,1535289 
3130,1540718 
3140,1545429 
3150,1551017 
3160,1555962 
3170,1560320 
3180,1565360 
3190,1570608 
3200,1575463 
3210,1581295 
3220,1586220 
3230,1590711 
3240,1595679 
3250,1601217 
3260,1606185 
3270,1611533 
3280,1616047 
3290,1621129 
3300,1626104 
3310,1630579 
3320,1636023 
3330,1641012 
3340,1645597 
3350,1650577 
3360,1655519 
3370,1661120 
3380,1665975 
3390,1670770 
3400,1675401 
3410,1680701 
3420,1686292 
3430,1690760 
3440,1696001 
3450,1700816 
3460,1706122 
3470,1711285 
3480,1716150 
3490,1720862 
3500,1726734 
3510,1731113 
3520,1735655 
3530,1740935 
3540,1746109 
3550,1751249 
3560,1755786 
3570,1760907 
3580,1765951 
3590,1771183 
3600,1775299 
3610,1780665 
3620,1785069 
3630,1789417 
3640,1794880 
3650,1800219 
3660,1805507 
3670,1810965 
3680,1815946 
3690,1820170 
3700,1825522 
3710,1830856 
3720,1835073 
3730,1840112 
3740,1845427 
3750,1850510 
3760,1854886 
3770,1860313 
3780,1864569 
3790,1869963 
3800,1875267 
3810,1880320 
3820,1885520 
3830,1889785 
3840,1895283 
3850,1899702 
3860,1905136 
3870,1910577 
3880,1914933 
3890,1919338 
3900,1924824 
3910,1929198 
3920,1933683 
3930,1939124 
3940,1944670 
3950,1949756 
3960,1954591 
3970,1960346 
3980,1964201 
3990,1968962 
4000,1972722 
4010,1977104 
4020,1981008 
4030,1985202 
4040,1989337 
4050,1993351 
4060,1997509 
4070,2001056 
4080,2005423 
4090,2010404 
4100,2014151 
4110,2018034 
4120,2021930 
4130,2025771 
4140,2030956 
4150,2034416 
4160,2039043 
4170,2043273 
4180,2047469 
4190,2051667 
4200,2054935 
4210,2059189 
4220,2063395 
4230,2067608 
4240,2071899 
4250,2076193 
4260,2080399 
4270,2085260 
4280,2088441 
4290,2092679 
4300,2096305 
4310,2100456 
4320,2104698 
4330,2108892 
4340,2113151 
4350,2117501 
4360,2121813 
4370,2125861 
4380,2130168 
4390,2134261 
4400,2138762 
4410,2142376 
4420,2146356 
4430,2150622 
4440,2154882 
4450,2158956 
4460,2163157 
4470,2166361 
4480,2170667 
4490,2174975 
4500,2178257 
4510,2182636 
4520,2186042 
4530,2190587 
4540,2194680 
4550,2198461 
4560,2202818 
4570,2206098 
4580,2210570 
4590,2215541 
4600,2219985 
4610,2223272 
4620,2227702 
4630,2232075 
4640,2235518 
4650,2240264 
4660,2243641 
4670,2249067 
4680,2252424 
4690,2256809 
4700,2261295 
4710,2265666 
4720,2269948 
4730,2274409 
4740,2278202 
4750,2282001 
4760,2285769 
4770,2289889 
4780,2294209 
